fNo;INCDTNUNIQUE;INCDTNO;IYR;IMO;RAILROAD;RR2;INCDTNO2;RR3;INCDTNO3;GXID;YEAR;MONTH;DAY;TIMEHR;TIMEMIN;AMPM;TYPE;CARS;CARSDMG;CARSHZD;EVACUATE;DIVISION;STATION;MILEPOST;STATE;TEMP;VISIBLTY;WEATHER;TRNSPD;TYPSPD;TRNNBR;TRNDIR;TONS;TYPEQ;EQATT;TRKNAME;TRKCLAS;TRKDNSTY;TYPTRK;RRCAR1;CARNBR1;POSITON1;LOADED1;RRCAR2;CARNBR2;POSITON2;LOADED2;HEADEND1;MIDMAN1;MIDREM1;RMAN1;RREM1;HEADEND2;MIDMAN2;MIDREM2;RMAN2;RREM2;LOADF1;LOADP1;EMPTYF1;EMPTYP1;CABOOSE1;LOADF2;LOADP2;EMPTYF2;EMPTYP2;CABOOSE2;EQPDMG;TRKDMG;CAUSE;CAUSE2;CASKLDRR;CASINJRR;CASKLD;CASINJ;ACCAUSE;ACCTRK;ACCTRKCL;HIGHSPD;ACCDMG;STCNTY;TOTINJ;TOTKLD;ENGRS;FIREMEN;CONDUCTR;BRAKEMEN;ENGHR;ENGMIN;CDTRHR;CDTRMIN;JOINTCD;REGION;TYPRR;RRDIV;METHOD;NARRLEN;YEAR4;RREMPKLD;RREMPINJ;PASSKLD;PASSINJ;OTHERKLD;OTHERINJ;COUNTY;CNTYCD;ALCOHOL;DRUG;PASSTRN;SSB1;SSB2;RCL;Latitude;Longitud;SIGNAL;MOPERA;SUBDIV;PC1;PC2;PC3;PC4;PC5
611;180148-611;180148;24;5;ATK;;;CSX;218785;;24;5;11;1;0;AM;9;0;0;0;0;;BETHUNE;305;45;52;4;1;54;E;91;2;0;2;Y;SINGLE MAIN TRACK;4;0;1;AMT;345;1;N;;;0;;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;40160;0;M404;;0;0;0;0;M404;1;4;54;40160;45C055;0;0;1;1;1;1;1;41;1;41;1;3;6;;;198;2024;0;0;0;0;0;0;KERSHAW;55;;;Y;827;2;0;34.428005;-80.325027;1;1;HAMLET;1.970260812;-0.333467971;4.579702679;-1.891652606;-1.306133558
612;219377-612;219377;24;7;CSX;;;CSX;219377;;24;7;16;10;26;PM;5;0;0;0;0;;NORTH CHARLESTON;390;45;79;4;3;6;E;Y290;2;0;7;Y;TRACK 010;1;0;2;CVTX;2111;1;N;;;0;;2;0;0;0;0;0;0;0;0;0;13;0;1;0;0;2;0;0;0;0;11890;0;M204;;0;0;0;0;M204;2;1;6;239634;45C019;0;0;1;0;1;0;7;26;7;26;3;3;1;;;145;2024;0;0;0;0;0;0;CHARLESTON;19;0;0;N;1029;2;3;32.856925;-80.022907;2;5;CHARLESTON;-0.43146647;-0.260598308;-0.206951144;-0.295582726;1.751424995
613;219377-613;219377;24;7;CSX;;;CSX;219377;;24;7;16;10;26;PM;5;41;0;0;0;;NORTH CHARLESTON;390;45;79;4;3;0;E;;1;0;6;N;TRACK 011;1;0;2;NS;471280;42;N;;;0;;0;0;0;0;0;0;0;0;0;0;3;0;42;0;0;0;0;0;0;0;226451;1293;M204;;0;0;0;0;M204;2;1;6;239634;45C019;0;0;0;0;0;0;0;;0;;1;3;1;;;145;2024;0;0;0;0;0;0;CHARLESTON;19;0;0;N;2700;0;0;32.856925;-80.022907;2;5;CHARLESTON;-0.749398902;-1.41668654;-0.619151835;0.235727739;-0.843781758
614;218785-614;218785;24;5;CSX;ATK;180148;CSX;218785;;24;5;11;1;0;AM;9;0;0;0;0;;BETHUNE;305;45;77;4;1;0;;;1;0;;;SINGLE MAIN TRACK;3;1;1;;;0;N;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M404;;0;0;0;0;M404;1;4;54;40160;45C055;0;0;0;0;0;0;0;;0;;2;3;1;;;121;2024;0;0;0;0;0;0;KERSHAW;55;;;N;;;;34.427898;-80.325164;2;2;HAMLET;-0.166068582;-1.713911058;0.525467636;-0.119822324;-1.134450427
615;218086-615;218086;24;5;CSX;;;CSX;218086;;24;5;16;12;5;PM;1;0;0;0;0;;GREENWOOD;425;45;75;2;1;4;E;L692;2;2766;1;Y;MAX TRACK;1;0;2;AMCX;463530;18;Y;;;0;N;1;0;0;0;0;0;0;0;0;0;27;0;2;0;0;2;0;0;0;0;90368;4055;T207;;0;0;0;0;T207;2;1;4;94423;45C047;0;0;1;0;1;0;6;5;6;5;1;3;1;;;158;2024;0;0;0;0;0;0;GREENWOOD;47;;;N;2610;1;0;34.188493;-82.16507;2;5;MONROE;-0.577513837;0.196643655;-0.576241196;-0.063085322;1.123451277
616;217798-616;217798;24;5;CSX;;;CSX;217798;;24;5;5;2;15;AM;12;0;0;0;0;;CAYCE;362;45;64;4;1;5;E;;2;0;6;N;N/E LADDER CAYCE YAR;1;0;2;DAKX;395322;1;Y;;;0;;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;17137;0;H302;;0;0;0;0;H302;2;1;5;21379;45C063;0;0;0;0;0;0;0;;0;;3;3;1;;;111;2024;0;0;0;0;0;0;LEXINGTON;63;0;0;N;0;0;0;33.975727;-81.047387;2;5;COLUMBIA;-0.585736294;-1.65248182;-0.245880095;0.069824027;-0.78411411
617;217798-617;217798;24;5;CSX;;;CSX;217798;;24;5;5;2;15;AM;12;0;0;0;0;;CAYCE;362;45;64;4;1;5;E;Y301;1;0;7;Y;N/E LADDER CAYCE YAR;1;0;2;DAKX;395024;1;Y;;;0;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4242;0;H302;;0;0;0;0;H302;2;1;5;21379;45C063;0;0;1;0;1;0;4;15;4;15;1;3;1;;;111;2024;0;0;0;0;0;0;LEXINGTON;63;0;0;N;60;1;0;33.975727;-81.047387;2;5;COLUMBIA;-0.501544217;-1.102714356;-0.181561314;-0.169843589;0.781415609
618;218524-618;218524;24;6;CSX;;;CSX;218524;;24;6;2;10;30;PM;1;2;0;0;0;;FLORENCE;293;45;75;4;1;3;E;;1;0;6;N;21;1;0;2;WFRX;600367;1;N;;;0;;0;0;0;0;0;0;0;0;0;0;12;0;21;0;0;0;0;1;0;0;15378;274;M599;;0;0;0;0;M599;2;1;3;15652;45C041;0;0;0;0;0;0;0;;0;;1;3;1;;;406;2024;0;0;0;0;0;0;FLORENCE;41;0;0;N;67;0;0;34.19827;-79.762485;2;5;CHARLESTON;-0.66310459;-1.611880607;-0.404239532;0.13659697;-0.788515768
619;221985-619;221985;24;12;CSX;;;CSX;221985;;24;12;3;8;20;PM;1;11;0;0;0;;ESTILL;455;45;50;4;1;59;R;M691;2;17350;1;Y;SINGLE MAIN TRACK;4;18.3;1;CYXX;94685;77;Y;CYXX;94685;77;Y;2;0;0;0;1;0;0;0;0;0;127;0;15;0;0;14;0;0;0;0;404260;179429;E44C;;0;0;0;0;E44C;1;4;59;583689;45C049;0;0;1;0;1;0;5;15;5;15;1;3;1;;;134;2024;0;0;0;0;0;0;HAMPTON;49;;;N;7514;2;0;32.682915;-81.243255;1;1;COLUMBIA;1.05075447;5.376171687;1.584059254;-0.606284807;-2.025076361
620;240725-620;240725;24;7;GRLW;;;GRLW;240725;;24;7;25;11;30;AM;1;15;3;0;0;;BELTON;28.97;45;76;2;1;8;E;Z590;2;3681;1;Y;BELTON YARD LEAD;1;;2;TCBX;193389;21;Y;TCBX;193389;21;Y;2;0;0;0;0;0;0;0;0;0;28;0;0;0;0;5;0;0;0;0;90000;35000;E64C;T110;0;0;0;0;E64C;2;1;8;125000;45C007;0;0;1;0;1;0;3;30;3;30;1;3;Cl;;;943;2024;0;0;0;0;0;0;ANDERSON;7;;;N;1633;2;0;34.50299;-82.467268;2;5;SYSTEM;-0.499544954;-0.118846607;-0.366903827;0.016526352;-0.120052063
